corp_ceref,corp_name,ro_ceref,ro_full_name,ro_first_short,ro_first_full,ro_last,ro_name_chi,ro_ra_types
AAD350,"Anglo Chinese Corporate Finance, Limited",BFF021,"CHAN Ka Chun, Karl",Karl,Ka Chun,Chan,陳家浚,6
AAD350,"Anglo Chinese Corporate Finance, Limited",AAD300,CLARK Stephen Edward,Stephen,Stephen Edward,Clark,,"1,4,6,9"
AAD350,"Anglo Chinese Corporate Finance, Limited",AAD322,HOWE Christopher John,Christopher John,Christopher John,Howe,,"1,4,6,9"
AAD350,"Anglo Chinese Corporate Finance, Limited",BCN572,"LI Wai Sum, Brandon",Brandon,Wai Sum,Li,李瑋琛,6
AAD350,"Anglo Chinese Corporate Finance, Limited",ABH098,THAM Anna Marie,Anna Marie,Anna Marie,Tham,譚妙芳,"4,9"
AAD350,"Anglo Chinese Corporate Finance, Limited",AZB751,YIM Charles,Charles,Charles,Yim,嚴儲文,6
AAD365,"Anglo Chinese Securities, Limited",AAD300,CLARK Stephen Edward,Stephen,Stephen Edward,Clark,,"1,4,6,9"
AAD365,"Anglo Chinese Securities, Limited",AAD322,HOWE Christopher John,Christopher John,Christopher John,Howe,,"1,4,6,9"
AAD365,"Anglo Chinese Securities, Limited",AEZ089,MAWDSLEY Nicholas Edward,Nicholas,Nicholas Edward,Mawdsley,,"1,4,9"
AAF157,Aisance Asset Management Limited,AXK803,"MA Wai Yee, Christine",Christine,Wai Yee,Ma,馬惟儀,9
AAF157,Aisance Asset Management Limited,ABR960,YAMANE Steven Keiji,Steven,Steven Keiji,Yamane,,9
AAB444,Amundi Hong Kong Limited,BPD470,NETO Florian Andre Jean,Florian,Florian Andre Jean,Neto,,"1,4,9"
AAB444,Amundi Hong Kong Limited,AFM342,TANG Ka Nam,Ka Nam,Ka Nam,Tang,鄧嘉南,"1,4,9"
AAB444,Amundi Hong Kong Limited,AWI658,"TSUI Kwan Tung, Gwendolen",Gwendolen,Kwan Tung,Tsui,徐君彤,"1,4,9"
AAB444,Amundi Hong Kong Limited,AKW690,"WONG Tai Che, Eddy",Eddy,Tai Che,Wong,王大智,"1,4,9"
AAB444,Amundi Hong Kong Limited,AJM413,YEUNG Kwong Yiu,Kwong Yiu,Kwong Yiu,Yeung,楊光耀,"1,4,9"
AAB444,Amundi Hong Kong Limited,AYV443,ZHONG Xiaofeng,Xiaofeng,Xiaofeng,Zhong,鍾小鋒,"1,4,9"
AAE950,abrdn Hong Kong Limited,AVX214,LU Junhua,Junhua,Junhua,Lu,陸俊華,9
AAE950,abrdn Hong Kong Limited,AUW916,LUO Xun,Xun,Xun,Luo,羅勛,"1,4,9"
AAE950,abrdn Hong Kong Limited,ARU238,MACDONALD Ian Robert,Ian Robert,Ian Robert,Macdonald,,"1,4,9"
AAE950,abrdn Hong Kong Limited,AGL457,TANG Wing Yee,Wing Yee,Wing Yee,Tang,鄧穎兒,"1,4"
AAE950,abrdn Hong Kong Limited,AOS444,YEO Horng Yao,Horng Yao,Horng Yao,Yeo,姚鴻耀,"4,9"
AAE226,Alpha Securities Company Limited,AMG991,"ONG CHAN Siu Kar, Jessica",Jessica,Chan Siu Kar,Ong,王陳兆笳,1
AAE226,Alpha Securities Company Limited,ABH337,"ONG Ka Fai, Philip",Philip,Ka Fai,Ong,王家輝,1
AAE226,Alpha Securities Company Limited,AAE180,"ONG Ka Lueng, Peter",Peter,Ka Lueng,Ong,王家龍,1
AAG391,Asia Pacific Investment Advisors Limited,AUO108,BARRETT Peter Richard Stephen,Peter,Peter Richard Stephen,Barrett,,"4,9"
AAG391,Asia Pacific Investment Advisors Limited,BAT994,JOHNSON Maximilian Edward,Maximilian,Maximilian Edward,Johnson,,6
AAG391,Asia Pacific Investment Advisors Limited,AUC466,LIM Ping Wai,Ping Wai,Ping Wai,Lim,林萍惠,"4,6,9"
AAG391,Asia Pacific Investment Advisors Limited,AAG321,WEIR Shane Frederick,Shane,Shane Frederick,Weir,,"4,6,9"
AAK058,Associated Advisers Limited,AAK078,TAO Kwok Lau Clement,Kwok,Kwok Lau Clement,Tao,杜國鎏,"1,4,9"
AAJ958,ACM Asia Limited,AAD224,BOWEN Louis McDaniel,Louis,Louis Mcdaniel,Bowen,,"4,6,9"
AAJ958,ACM Asia Limited,ABO257,COLLINS-TAYLOR James Desmond,Collins-Taylor,Collins-Taylor James,Desmond,,"4,6,9"
AAK273,Alpha Futures Company Limited,ABH337,"ONG Ka Fai, Philip",Philip,Ka Fai,Ong,王家輝,2
AAK273,Alpha Futures Company Limited,AAE180,"ONG Ka Lueng, Peter",Peter,Ka Lueng,Ong,王家龍,2
AAK561,Arta Global Futures Limited,ANH674,LAU Fu Wing,Fu Wing,Fu Wing,Lau,劉富榮,2
AAK561,Arta Global Futures Limited,ALV094,SHUM Ngai Ho,Ngai Ho,Ngai Ho,Shum,沈毅豪,2
AAP809,AXA Investment Managers Asia Limited,BNQ515,LAO Chan Wa,Chan Wa,Chan Wa,Lao,留振華,"1,2,3,9"
AAP809,AXA Investment Managers Asia Limited,BTQ498,LOYER Yannig,Yannig,Yannig,Loyer,,"2,3"
AAP809,AXA Investment Managers Asia Limited,BSI854,MCKENZIE Julian John Joseph,Julian,Julian John Joseph,Mckenzie,,"1,4,9"
AAP809,AXA Investment Managers Asia Limited,AJE849,TSE Kevin Ka Bun,Kevin,Kevin Ka Bun,Tse,謝嘉斌,"1,2,3,9"
AAP809,AXA Investment Managers Asia Limited,BOW856,VO  Mai Khanh,Mai Khanh,Mai Khanh,Vo,,9
AAP809,AXA Investment Managers Asia Limited,AVU839,WESTON Simon Michael,Simon,Simon Michael,Weston,,"1,4"
AAZ063,Averest Capital Limited,BMW845,HO Pui San Jenny,Pui,Pui San Jenny,Ho,何佩珊,"1,4,9"
AAZ063,Averest Capital Limited,BNH009,SUN Ge,Ge,Ge,Sun,孫戈,"1,4,9"
ABM588,Asian Capital Partners (HK) Limited,AAC367,KORNER Andrew John Peregrine,Andrew,Andrew John Peregrine,Korner,,"4,6"
ABW455,Anuenue Securities Limited,AEZ003,CHAN Anson,Anson,Anson,Chan,陳燿璋,"1,4,6"
ABW455,Anuenue Securities Limited,AMS539,"YAU Shing Yam, Angela",Angela,Shing Yam,Yau,邱聖音,"1,4,6"
ABW455,Anuenue Securities Limited,ABU336,YUEN Chi Fung,Chi Fung,Chi Fung,Yuen,袁志峰,"1,4"
