corp_ceref,corp_name,ro_ceref,ro_full_name,ro_name_chi,ro_ra_types
AAD365,"Anglo Chinese Securities, Limited",AAD300,CLARK Stephen Edward,,"1,4,6,9"
AAD365,"Anglo Chinese Securities, Limited",AAD322,HOWE Christopher John,,"1,4,6,9"
AAD365,"Anglo Chinese Securities, Limited",AEZ089,MAWDSLEY Nicholas Edward,,"1,4,9"
AAB444,Amundi Hong Kong Limited,BPD470,NETO Florian Andre Jean,,"1,4,9"
AAB444,Amundi Hong Kong Limited,AFM342,TANG Ka Nam,鄧嘉南,"1,4,9"
AAB444,Amundi Hong Kong Limited,AWI658,"TSUI Kwan Tung, Gwendolen",徐君彤,"1,4,9"
AAB444,Amundi Hong Kong Limited,AKW690,"WONG Tai Che, Eddy",王大智,"1,4,9"
AAB444,Amundi Hong Kong Limited,AJM413,YEUNG Kwong Yiu,楊光耀,"1,4,9"
AAB444,Amundi Hong Kong Limited,AYV443,ZHONG Xiaofeng,鍾小鋒,"1,4,9"
AAD350,"Anglo Chinese Corporate Finance, Limited",BFF021,"CHAN Ka Chun, Karl",陳家浚,6
AAD350,"Anglo Chinese Corporate Finance, Limited",AAD300,CLARK Stephen Edward,,"1,4,6,9"
AAD350,"Anglo Chinese Corporate Finance, Limited",AAD322,HOWE Christopher John,,"1,4,6,9"
AAD350,"Anglo Chinese Corporate Finance, Limited",BCN572,"LI Wai Sum, Brandon",李瑋琛,6
AAD350,"Anglo Chinese Corporate Finance, Limited",ABH098,THAM Anna Marie,譚妙芳,"4,9"
AAD350,"Anglo Chinese Corporate Finance, Limited",AZB751,YIM Charles,嚴儲文,6
AAE950,abrdn Hong Kong Limited,AVX214,LU Junhua,陸俊華,9
AAE950,abrdn Hong Kong Limited,AUW916,LUO Xun,羅勛,"1,4,9"
AAE950,abrdn Hong Kong Limited,ARU238,MACDONALD Ian Robert,,"1,4,9"
AAE950,abrdn Hong Kong Limited,AGL457,TANG Wing Yee,鄧穎兒,"1,4"
AAE950,abrdn Hong Kong Limited,AOS444,YEO Horng Yao,姚鴻耀,"4,9"
AAF157,Aisance Asset Management Limited,AXK803,"MA Wai Yee, Christine",馬惟儀,9
AAF157,Aisance Asset Management Limited,ABR960,YAMANE Steven Keiji,,9
AAE226,Alpha Securities Company Limited,AMG991,"ONG CHAN Siu Kar, Jessica",王陳兆笳,1
AAE226,Alpha Securities Company Limited,ABH337,"ONG Ka Fai, Philip",王家輝,1
AAE226,Alpha Securities Company Limited,AAE180,"ONG Ka Lueng, Peter",王家龍,1
AAK058,Associated Advisers Limited,AAK078,TAO Kwok Lau Clement,杜國鎏,"1,4,9"
AAG391,Asia Pacific Investment Advisors Limited,AUO108,BARRETT Peter Richard Stephen,,"4,9"
AAG391,Asia Pacific Investment Advisors Limited,BAT994,JOHNSON Maximilian Edward,,6
AAG391,Asia Pacific Investment Advisors Limited,AUC466,LIM Ping Wai,林萍惠,"4,6,9"
AAG391,Asia Pacific Investment Advisors Limited,AAG321,WEIR Shane Frederick,,"4,6,9"
