ceref,name_en,website_url,name_disambiguation_status,operational_status,asset_classes,style,sub_strategy,illiquid_book_likelihood,cayman_fund_signals,us_lp_signals,geographic_focus,sector_focus,family_office_type,parent_org,parent_relationship,aum_raw_string,aum_currency,aum_usd_m,linkedin_url,ir_email,emails_on_site,generic_emails_on_site,also_holds_type_1,also_holds_type_4,all_sfc_ra_types,evidence_strength,rationale,classification_source,serpapi_kg_summary,source_markdown_path,classified_at_utc,classifier_version,email_extraction_cleared,website_accuracy,deep_scrape_attempted_utc,deep_scrape_status,hunter_email,hunter_score,hunter_status,hunter_attempted_utc
AAA121,JPMorgan Asset Management (Asia Pacific) Limited,https://www.jpmorgan.com.hk,no_match,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,true,true,"1,2,4,5,9",no_evidence,,none,,,2026-05-29T06:42:51Z,v2-2026-05-27,,not_found,2026-05-29T04:20:19+00:00,,,,,
AAA135,JPMorgan Funds (Asia) Limited,https://www.jpmorgan.com.hk,no_match,active,"public_equity,public_credit,private_equity,private_credit,real_assets",mixed,global multi-asset,medium,,,asia,generalist,not_applicable,JPMorgan Chase & Co.,subsidiary,,,,,,,,true,true,"1,4,9",inferred_from_name_or_parent,"JPMorgan Funds (Asia) Limited is the Hong Kong asset management arm of JPMorgan Chase; the parent runs a large mixed book including liquid public markets and significant illiquid private assets (private equity, credit, real estate).",llm_on_name,,,2026-05-29T09:59:17Z,v2-2026-05-27,,suspect,2026-05-29T04:20:19+00:00,,,,,
AAA137,Citigroup Global Markets Asia Limited,https://www.citigroup.com,high_confidence,active,"public_equity,public_credit,multi",mixed,,medium,,,global,generalist,not_applicable,Citigroup Inc.,subsidiary,,,,,,,,true,true,"1,2,4,5,6,7",multiple_pages_corroborate,"Citigroup Global Markets Asia Limited is a subsidiary of Citigroup Inc., a global financial conglomerate with a mix of public markets and private/illiquid activities (e.g., affordable housing lending, private banking), warranting medium illiquid likelihood for parent group.",consensus_website_plus,,data\firm_pages\AAA137.md,2026-05-28T06:51:08Z,v2-2026-05-27,,verified,,,,,,
AAA347,First Securities (HK) Limited,https://www.firstsechk.com,ambiguous,placeholder_site,unknown,unknown,,unknown,,,,none,not_applicable,,n_a,,,,,,,,true,false,"1,9",no_evidence,"The source text is a placeholder 'It works!' with no actual firm content, so operational_status is placeholder_site and no classification evidence is available.",none,,data\firm_pages\AAA347.md,2026-05-28T07:57:45Z,v2-2026-05-27,,suspect,,,,,,
AAA451,PFP Capital Limited,https://www.connectcommunication.com/,ambiguous,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,false,true,"4,5,9",no_evidence,"The source text is about a communication training and coaching company called Connect, not PFP Capital. No asset management or financial services content was found.",none,,data\firm_pages\AAA451.md,2026-05-28T13:34:20Z,v2-2026-05-27,true,not_found,,,,,,
AAA523,"Hongkong and Shanghai Banking Corporation Limited, The",https://www.hongkongcapital.com/,medium_confidence,active,multi,mixed,,medium,,,global,generalist,not_applicable,HSBC Holdings plc,subsidiary,,,,,,,,false,false,,inferred_from_name_or_parent,"HSBC Group is a global banking and asset management conglomerate with significant illiquid private credit and real assets operations (e.g., HSBC Alternative Investments), making illiquid_book_likelihood medium.",llm_on_name,,data\firm_pages\AAA523.md,2026-05-29T06:38:15Z,v2-2026-05-27,,probable,,,,,,
AAA529,HSBC Broking Securities (Hong Kong) Limited,https://www.hsbc.com.hk/broking,high_confidence,active,"public_equity,public_credit",mixed,brokerage and execution services,low,,,hong_kong,generalist,not_applicable,HSBC Holdings plc,subsidiary,,,,,,,,true,false,1,one_clear_statement,"The website clearly shows HSBC Broking is a brokerage service offering stocks, ETFs, bonds, futures, options, and margin financing — purely public and liquid securities. No private equity or private credit mentioned. As a subsidiary of HSBC Holdings plc, within the group there are illiquid assets, but this specific entity and its website focus solely on liquid brokerage services, hence low illiquid likelihood.",website,,data\firm_pages\AAA529.md,2026-05-28T08:32:03Z,v2-2026-05-27,,verified,,,,,,
AAA530,HSBC Broking Futures (Hong Kong) Limited,,no_match,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,false,false,2,no_evidence,,none,,,2026-05-28T08:34:07Z,v2-2026-05-27,,not_found,,,,,,
AAA537,Rifa Securities Limited,https://www.rffg.com.hk,medium_confidence,active,"public_equity,public_credit,unknown",mixed,,low,,,greater_china,generalist,not_applicable,,n_a,,,,,,,compliance@rffg.com.hk,true,false,1,inferred_from_name_or_parent,"Website clearly shows Rifa Securities is a retail brokerage offering stocks, ETFs, futures, and wealth management products; no mention of private equity, private credit, or other illiquid private investments; appears to be a standalone Hong Kong broker-dealer, not part of a larger private-assets parent group.",website,,data\firm_pages\AAA537.md,2026-05-28T13:58:21Z,v2-2026-05-27,,probable,,,,,,
AAA582,Fubon Bank (Hong Kong) Limited,https://www.fubonbank.com.hk/,high_confidence,active,"public_equity,public_credit",mixed,,low,,,greater_china,generalist,not_applicable,,n_a,,,,,,,,false,false,,inferred_from_name_or_parent,"Fubon Bank (Hong Kong) is a licensed bank offering retail and corporate banking products including deposits, loans, securities trading, and fund investment services; no evidence of private equity or private credit activities on the website, and the firm is not an asset manager, so likely holds no material illiquid private positions.",website,"KG title: Fubon Bank (Hong Kong)
KG type: Subsidiary
KG desc: Fubon Bank (Hong Kong) Limited is a wholly owned subsidiary of Fubon Financial Holding Co., Ltd., one of the largest financial holding companies in Taiwan. Committed to becoming one of Asia’s first-class financial institutions, Fubon Financial Holdings has built a strong lineup of financial service companies.
KG founder: Fung King-hey
KG ceo: Simon Chung (Jul 1, 2021–)
KG parent_organization: Fubon Financial Holding
KG subsidiaries: Fubon Credit (Hong Kong) Limited
KG founded: 1970, Hong Kong",data\firm_pages\AAA582.md,2026-05-28T07:58:22Z,v2-2026-05-27,,probable,,,,,,
